Date,Gasolineprices
2017/1/23,2.126
2017/1/30,2.091
2017/2/6,2.082
2017/2/13,2.089
2017/2/20,2.082
2017/2/27,2.08
2017/3/6,2.102
2017/3/13,2.09
2017/3/20,2.082
2017/3/27,2.083
2017/4/3,2.129
2017/4/10,2.191
2017/4/17,2.235
2017/4/24,2.224
2017/5/1,2.204
2017/5/8,2.185
2017/5/15,2.159
2017/5/22,2.186
2017/5/29,2.201
2017/6/5,2.203
2017/6/12,2.18
2017/6/19,2.133
2017/6/26,2.08
2017/7/3,2.039
2017/7/10,2.058
2017/7/17,2.052
2017/7/24,2.088
2017/7/31,2.105
2017/8/7,2.173
2017/8/14,2.17
2017/8/21,2.145
2017/8/28,2.176
2017/9/4,2.56
2017/9/11,2.537
2017/9/18,2.502
2017/9/25,2.462
2017/10/2,2.43
2017/10/9,2.37
2017/10/16,2.305
2017/10/23,2.262
2017/10/30,2.241
2017/11/6,2.269
2017/11/13,2.318
2017/11/20,2.288
2017/11/27,2.277
2017/12/4,2.265
2017/12/11,2.235
2017/12/18,2.171
2017/12/25,2.202
2018/1/1,2.28
2018/1/8,2.278
2018/1/15,2.286
2018/1/22,2.31
2018/1/29,2.349
2018/2/5,2.38
2018/2/12,2.357
2018/2/19,2.3
2018/2/26,2.282
2018/3/5,2.32
2018/3/12,2.311
2018/3/19,2.311
2018/3/26,2.38
2018/4/2,2.413
2018/4/9,2.413
2018/4/16,2.488
2018/4/23,2.529
2018/4/30,2.592
2018/5/7,2.621
2018/5/14,2.622
2018/5/21,2.662
2018/5/28,2.741
2018/6/4,2.731
2018/6/11,2.713
2018/6/18,2.681
2018/6/25,2.637
2018/7/2,2.631
2018/7/9,2.63
2018/7/16,2.616
2018/7/23,2.591
2018/7/30,2.609
2018/8/6,2.604
2018/8/13,2.598
2018/8/20,2.587
2018/8/27,2.582
2018/9/3,2.574
2018/9/10,2.591
2018/9/17,2.584
2018/9/24,2.581
2018/10/1,2.606
2018/10/8,2.635
2018/10/15,2.625
2018/10/22,2.585
2018/10/29,2.527
2018/11/5,2.466
2018/11/12,2.404
2018/11/19,2.312
2018/11/26,2.218
2018/12/3,2.124
2018/12/10,2.081
2018/12/17,2.026
2018/12/24,1.974
2018/12/31,1.912
2019/1/7,1.875
2019/1/14,1.901
2019/1/21,1.904
2019/1/28,1.962
2019/2/4,1.931
2019/2/11,1.945
2019/2/18,2.029
2019/2/25,2.124
2019/3/4,2.169
2019/3/11,2.18
2019/3/18,2.264
2019/3/25,2.34
2019/4/1,2.413
2019/4/8,2.417
2019/4/15,2.509
2019/4/22,2.508
2019/4/29,2.554
2019/5/6,2.539
2019/5/13,2.507
2019/5/20,2.494
2019/5/27,2.46
2019/6/3,2.421
2019/6/10,2.362
2019/6/17,2.347
2019/6/24,2.317
2019/7/1,2.37
2019/7/8,2.41
2019/7/15,2.479
2019/7/22,2.476
2019/7/29,2.446
2019/8/5,2.414
2019/8/12,2.346
2019/8/19,2.3
2019/8/26,2.278
2019/9/2,2.241
2019/9/9,2.24
2019/9/16,2.245
2019/9/23,2.361
2019/9/30,2.339
2019/10/7,2.305
2019/10/14,2.282
2019/10/21,2.285
2019/10/28,2.255
2019/11/4,2.243
2019/11/11,2.273
2019/11/18,2.231
2019/11/25,2.236
2019/12/2,2.222
2019/12/9,2.19
2019/12/16,2.228
2019/12/23,2.215
2019/12/30,2.282
2020/1/6,2.273
2020/1/13,2.263
2020/1/20,2.223
2020/1/27,2.188
2020/2/3,2.13
2020/2/10,2.08
2020/2/17,2.062
2020/2/24,2.151
2020/3/2,2.103
2020/3/9,2.052
2020/3/16,1.944
2020/3/23,1.863
2020/3/30,1.781
2020/4/6,1.642
2020/4/13,1.57
2020/4/20,1.535
